2to3	python2-basic
contextjit	texlive
convbkmk	texlive
convert	ImageMagick
convert-caffe2-to-onnx	machine-learning-pytorch
convert-dtsv0	dtc
convert-json	openstack-common
convert-onnx-to-caffe2	machine-learning-pytorch
convert-test	desktop-kde
convertgls2bib	texlive
copydatabase	devpkg-xapian-core
copylink	perl-extras
coredumpctl	os-core
corelist	perl-basic
coreutils	os-core
count	llvm
cover	perl-extras
coverage	python-testing
coverage-3.7	python-testing
coverage3	python-testing
cp	os-core
cpack	c-basic
cpan	perl-basic
cpancover	perl-extras
cpanel_json_xs	perl-extras
cpanfile-dump	perl-extras
cpanm	os-clr-on-clr-dev
cpio	cpio
cpio-filter	perl-extras
cpp	c-basic
cpp2html	dev-utils
cppcheck	dev-utils
cpuid	sysadmin-basic
cpuinfo2cpuid	sysadmin-basic
cpuloadgen	performance-tools
cq	cloud-api
cracklib-check	os-core-dev
cracklib-format	os-core-dev
cracklib-packer	os-core-dev
cracklib-unpacker	os-core-dev
crashlogctl	software-defined-cockpit-dev
crashprobe	devpkg-telemetrics-client
create-cracklib-dict	os-core-dev
create_cvsignore	desktop-kde-apps
create_dmesg_entries_for_each_test.awk	ltp
create_kernel_faults_in_loops_and_probability.awk	ltp
create_makefile	desktop-kde-apps
create_makefiles	desktop-kde-apps
create_svnignore	desktop-kde-apps
create_valgrind_check.awk	ltp
createdb	postgresql
createlang	postgresql
createrepo_c	package-utils
createuser	postgresql
cri-containerd	containers-basic
crictl	cloud-control
crio	containers-basic
critest	cloud-control
crlupdate	mono
crlutil	cryptography
croco-0.6-config	devpkg-libcroco
crond	cronie
cronnext	cronie
crontab	cronie
crushtool	ceph
cryptdir	tcl-basic
cryptsetup	boot-encrypted
cryptsetup-reencrypt	boot-encrypted
csc	mono
csc-dim	mono
cscope	dev-utils
csharp	mono
csi	mono
csplit	os-core
csslint-0.6	devpkg-libcroco
csysdig	performance-tools
ct_run	openstack-common
ctags	vim
ctan-o-mat	texlive
ctangle	texlive
ctanify	texlive
ctanupload	texlive
ctest	c-basic
ctie	texlive
ctr	cloud-control
ctracer	dev-utils
ctrlaltdel	os-core
ctstat	os-core
cups-browsed	hardware-printing
cups-calibrate	desktop
cups-config	hardware-printing
cups-genppd.5.3	desktop
cups-genppdupdate	desktop
cupsaccept	hardware-printing
cupsaddsmb	hardware-printing
cupsctl	hardware-printing
cupsd	hardware-printing
cupsdisable	hardware-printing
cupsenable	hardware-printing
cupsfilter	hardware-printing
cupsreject	hardware-printing
cupstestdsc	hardware-printing
cupstestppd	hardware-printing
cura	maker-3dprinting
curl	curl
curl-config	curl
curve_keygen	libzmq
cut	os-core
cve-bin-tool	cve-bin-tool
cve-check-tool	os-clr-on-clr
cve-check-update	os-clr-on-clr
cvlc	vlc
cvs-clean	desktop-kde-apps
cvsaddcurrentdir	desktop-kde-apps
cvsbackport	desktop-kde-apps
cvsblame	desktop-kde-apps
cvscheck	desktop-kde-apps
cvsforwardport	desktop-kde-apps
cvslastchange	desktop-kde-apps
cvslastlog	desktop-kde-apps
cvsrevertlast	desktop-kde-apps
cvsversion	desktop-kde-apps
cvt	x11-server
cvtsudoers	sudo
cweave	texlive
cwebp	devpkg-libwebp
cwutil	cloud-api
cx18-ctl	v4l-utils
cxpm	devpkg-libXpm
cxxmetric	desktop-kde-apps
cyclicdeadline	dev-utils
cyclictest	dev-utils
cygdb	python-extras
cython	python-extras
cythonize	python-extras
dapltest	hpc-utils
darktable	darktable
darktable-chart	darktable
darktable-cli	darktable
darktable-cltest	darktable
darktable-cmstest	darktable
darktable-generate-cache	darktable
darktable-rs-identify	darktable
dask-mpi	python-extras
dask-remote	python-extras
dask-scheduler	python-extras
dask-ssh	python-extras
dask-submit	python-extras
dask-worker	python-extras
date	os-core
datefudge	os-core-dev
daxctl	storage-utils
daxio	pmdk
dazzle-list-counters	devpkg-libdazzle
dbicadmin	openqa
dbilogstrip	perl-basic
dbiprof	perl-basic
dbiproxy	perl-basic
dbmmanage	application-server
dbus-binding-tool	devpkg-dbus-glib
dbus-cleanup-sockets	os-core
dbus-daemon	os-core
dbus-launch	desktop
dbus-monitor	os-core
dbus-run-session	os-core
dbus-send	os-core
dbus-test-tool	os-core
dbus-update-activation-environment	os-core
dbus-uuidgen	os-core
dbwrap_tool	samba
dc	bc
dcbtool	performance-tools
dconf	desktop
dconf-editor	desktop-apps
dcraw_emu	devpkg-LibRaw
dcraw_half	devpkg-LibRaw
dd	os-core
ddcmon	os-testsuite-0day
ddd	ddd
ddns-confgen	network-basic
de-macro	texlive
deadline_test	dev-utils
deallocvt	kbd
debugfs	os-cloudguest-aws
debugger	software-defined-cockpit-dev
debugviewer	openqa
decode-dimms	os-testsuite-0day
decode-edid	os-testsuite-0day
decode-vaio	os-testsuite-0day
decode_aprs	amateur-radio
decode_tm6000	v4l-utils
decryptdir	tcl-basic
defrag.f2fs	os-testsuite-0day
dehtmldiff	dev-utils
delpart	os-core
deltainfoxml2solv	devpkg-libsolv
depdiagram-generate	desktop-kde-apps
depdiagram-generate-all	desktop-kde-apps
depdiagram-prepare	desktop-kde-apps
depmod	os-core
depythontex	texlive
derb	devpkg-icu4c
designate	openstack-common
designer	devpkg-qttools
desktop-file-edit	desktop
desktop-file-install	desktop
desktop-file-validate	desktop
desktoptojson	kde-frameworks5
detex	texlive
devlink	os-core
devnag	texlive
deweb	texlive
df	os-core
dfc	sysadmin-basic
dfu-prefix	dfu-util
dfu-suffix	dfu-util
dfu-tool	firmware-update
dfu-util	dfu-util
dhcp_lease_time	dhcp-server
dhcp_release	dhcp-server
dhcp_release6	dhcp-server
dhcpd	pxe-server
dhcrelay	pxe-server
diadia	texlive
diagtool	llvm
dialog	alsa-utils
dialog-config	alsa-utils
dialyzer	openstack-common
diff	diffutils
diff3	diffutils
diffimg	desktop-apps
diffoscope	diffoscope
diffstat	dev-utils
dig	network-basic
digikam	digikam
digitaglinktree	digikam
dijkstra	graphviz
dir	os-core
dircolors	os-core
direwolf	amateur-radio
dirmngr	cryptography
dirmngr-client	cryptography
dirname	os-core
disco	mono
disdvi	texlive
dislocate	tcl-basic
display	ImageMagick
distribute-exclude.sh	big-data-basic
distro	python-extras
django-admin	django
django-admin.py	django
djpeg	devpkg-libjpeg-turbo
dkms	kernel-native-dkms
dkms-new-kernel.sh	kernel-native-dkms
dkms-remove-old.sh	kernel-native-dkms
dlist_test	openstack-common
dlltool	binutils
dllwrap	binutils
dlt-adaptor-stdin	software-defined-cockpit-dev
dlt-adaptor-udp	software-defined-cockpit-dev
dlt-control	software-defined-cockpit-dev
dlt-convert	software-defined-cockpit-dev
dlt-daemon	software-defined-cockpit-dev
dlt-dbus	software-defined-cockpit-dev
dlt-example-filetransfer	software-defined-cockpit-dev
dlt-example-user	software-defined-cockpit-dev
dlt-example-user-common-api	software-defined-cockpit-dev
dlt-example-user-func	software-defined-cockpit-dev
dlt-kpi	software-defined-cockpit-dev
dlt-logstorage-ctrl	software-defined-cockpit-dev
dlt-passive-node-ctrl	software-defined-cockpit-dev
dlt-receive	software-defined-cockpit-dev
dlt-sortbytimestamp	software-defined-cockpit-dev
